localidade;nome;lat;long
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SWBC;BARCELOS;-0,97;-62,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBMA;MARABA;-5,37;-49,13
SBSN;SANTAREM AEROPORTO;-2,42;-54,78
SBHT;ALTAMIRA;-3,21;-52,21
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SWEI;EIRUNEPE;-6,637;-69,89
SBTT;TABATINGA;-4,25;-69,93
SWEI;EIRUNEPE;-6,637;-69,89
SBPV;PORTO VELHO AEROPORTO;-8,7;-63,9
SBGM;GUAJARA MIRIM;-10,78;-65,27
SBVH;VILHENA AEROPORTO;-12,69;-60,11
SBMY;MANICORE;-5,82;-61,29
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SWMK;MATURACÁ;0,626;-66,12
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SWQE;QUERARI;1,085;-69,84
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBSQ;SÃO JOAQUIM;1,7;-69,39
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SWMK;MATURACÁ;0,626;-66,12
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SWQE;QUERARI;1,085;-69,84
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SWSQ;SÃO JOAQUIM;1,7;-69,39
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SWMK;MATURACÁ;0,626;-66,12
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SWMK;MATURACÁ;0,626;-66,12
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SWSQ;SÃO JOAQUIM;1,7;-69,39
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBTS;TIRIOS (BASE AEREA);2,22;-55,93
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBMY;MANICORE;-5,82;-61,29
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBGR;GUARULHOS AEROPORTO;-23,44;-46,47
SBBR;BRASILIA AEROPORTO;-15,87;-47,92
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBTF;TEFE;-3,38;-64,73
SBTT;TABATINGA;-4,25;-69,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBTS;TIRIOS (BASE AEREA);2,22;-55,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBTS;TIRIOS (BASE AEREA);2,22;-55,93
