data,mes,om,anv,etapa,origem,destino,lat_origem,long_origem,lat_dest,long_dest,HORA_DEP,HORA_ARR,TEMPO_DE_VOO,SEGMTO,POUSOS,REAL,CAPOTA,LOCAL_1,QTD_1,LOCAL_2,QTD_2,1P,2P,NV,MC1,MC2,MC3,LM1,LM2,LM3,LM4,LM5,COM,MISSAO,D_N,OFRAG,ORGAO,PROGRAMA,SUBPROG,APLICACAO,COMB,OLEO,PAX_EMBARQ,PAX_DESEMB,PAX_LANCADO,CARGA_EMBARQ,CARGA_DESEMB,CARGA_LANCADA
02/jan.,JAN.,001,2802,1,SBMN,ROTA,-3.130,-59.98,0.0,0.0,07:00,10:00,03:00,1,0,02:50,,,,,,BOD,FVA,,DNL,,,VAN,ADO,,,,,41TVNO,NOTURNO,203669,COMAE,PEO,SPMAS,EVAM,,,8,,,,,
02/jan.,JAN.,001,2802,1,ROTA,SBBE,0.0,0.0,-1.400,-1.400,10:00,10:30,00:30,2,1,00:20,,SBBE,1,,,BOD,FVA,,DNL,,,VAN,ADO,,,,,41TVDI,DIURNO,,COMAE,PEO,SPMAS,EVAM,3000,0,0,8,0,0,0,0
02/jan.,JAN.,001,2802,2,SBBE,SBMN,-1.400,-48.45,-3.130,-3.130,13:00,16:30,03:30,3,1,03:20,,SBMN,1,,,FVA,BOD,,DNL,,,VAN,ADO,,,,,69TVDI,DIURNO,,COMAE,PEO,SPMAS,EVAM,2643,0,6,6,0,0,0,0
03/jan.,JAN.,002,2802,1,SBMN,SWBC,-3.130,-59.98,-0.970,-0.970,15:45,16:50,01:05,1,1,,,,,,,ABQ,BOD,,LMA,,,MOA,VAN,MAR,,,,69TV300,DIURNO,203669,COMAE,PEO,SPMAS,FAB,1000,4,2,2,0,70,70,0
03/jan.,JAN.,002,2802,2,SWBC,SBMN,-0.970,-62.93,-3.130,-3.130,18:10,19:20,01:10,2,1,,,SBMN,1,,,BOD,ABQ,,LMA,,,MOA,VAN,MAR,,,,69TV300,DIURNO,,COMAE,PEO,SPMAS,FAB,1100,0,8,8,0,90,90,0
03/jan.,JAN.,003,2802,1,SBMN,ROTA,-3.130,-59.98,0.0,0.0,20:20,22:10,01:50,1,0,01:50,,,,,,CAV,RAV,,RDZ,,,MAI,BGN,MTO,,,,69TVDI,DIURNO,203706,COMAE,PAOE,SPAOE,VERDE BRASIL,,,,,,,,
03/jan.,JAN.,003,2802,1,ROTA,SBMA,0.0,0.0,-5.370,-5.370,22:10,23:35,01:25,2,1,01:15,,SBMA,1,,,CAV,RAV,,RDZ,,,MAI,BGN,MTO,,,,69TVNO,NOTURNO,,COMAE,PAOE,SPAOE,VERDE BRASIL,2700,0,0,0,0,0,0,0
04/jan.,JAN.,003,2802,2,SBMA,SBSN,-5.370,-49.13,-2.420,-2.420,10:40,12:30,01:50,1,1,,,,,,,CAV,RAV,,RDZ,,,MAI,BGN,MTO,,,,69TVDI,DIURNO,,COMAE,PAOE,SPAOE,VERDE BRASIL,1550,0,30,30,0,0,0,0
04/jan.,JAN.,003,2802,3,SBSN,SBHT,-2.420,-54.78,-3.210,-3.210,16:30,17:20,00:50,2,1,,,,,,,RAV,CAV,,RDZ,,,MAI,BGN,MTO,,,,69TVDI,DIURNO,,COMAE,PAOE,SPAOE,VERDE BRASIL,930,0,30,30,0,0,0,0
04/jan.,JAN.,003,2802,4,SBHT,SBMN,-3.210,-52.21,-3.130,-3.130,17:55,20:05,02:10,3,1,02:00,,SBMN,1,,,CAV,RAV,,RDZ,,,MAI,BGN,MTO,,,,69TVDI,DIURNO,,COMAE,PAOE,SPAOE,VERDE BRASIL,1850,0,0,0,0,0,0,0
05/jan.,JAN.,004,2802,1,SBMN,SWEI,-3.130,-59.98,-6.637,-6.637,12:10,15:10,03:00,1,1,,,,,,,ADR,RAV,,LMA,,,MOA,VAN,MAR,,,,69TV300,DIURNO,203670,COMAE,PEO,SPMAS,FAB,2500,4,9,5,0,3411,1605,0
05/jan.,JAN.,004,2802,2,SWEI,SBTT,-6.637,-69.89,-4.250,-4.250,16:15,17:00,00:45,2,1,,,,,,,RAV,ADR,,LMA,,,MOA,VAN,MAR,,,,69TV300,DIURNO,,COMAE,PEO,SPMAS,FAB,800,0,0,4,0,0,208,0
